Thickness of SUS flat deg [mm]1	138Sn 50+	Thickness of SUS flat deg [mm]2	138Sn 50+	Thickness of SUS flat deg [mm]3	138Sn 50+	Thickness of SUS flat deg [mm]4	138Sn 49+	Thickness of SUS flat deg [mm]5	138Sn 49+	Thickness of SUS flat deg [mm]6	138Sn 49+	Thickness of SUS flat deg [mm]7	138Sn 48+	Thickness of SUS flat deg [mm]8	138Sn 48+	Thickness of SUS flat deg [mm]9	138Sn 48+	Thickness of SUS flat deg [mm]10	138Sn 50+	Thickness of SUS flat deg [mm]11	138Sn 50+	Thickness of SUS flat deg [mm]12	138Sn 50+	Thickness of SUS flat deg [mm]13	138Sn 49+	Thickness of SUS flat deg [mm]14	138Sn 49+	Thickness of SUS flat deg [mm]15	138Sn 49+	Thickness of SUS flat deg [mm]16	138Sn 48+	Thickness of SUS flat deg [mm]17	138Sn 48+	Thickness of SUS flat deg [mm]18	138Sn 50+	Thickness of SUS flat deg [mm]19	138Sn 50+	Thickness of SUS flat deg [mm]20	138Sn 50+	Thickness of SUS flat deg [mm]21	138Sn 49+	Thickness of SUS flat deg [mm]22	138Sn 49+	Thickness of SUS flat deg [mm]23	138Sn 48+	Thickness of SUS flat deg [mm]24	138Sn 50+	Thickness of SUS flat deg [mm]25	138Sn 49+	Thickness of SUS flat deg [mm]26	138Sn 50+	Thickness of SUS flat deg [mm]27	138Te 52+	Thickness of SUS flat deg [mm]28	140I 53+	Thickness of SUS flat deg [mm]29	139I 53+	Thickness of SUS flat deg [mm]30	141I 53+	Thickness of SUS flat deg [mm]31	139Te 52+	Thickness of SUS flat deg [mm]32	141Te 52+	Thickness of SUS flat deg [mm]33	142Xe 54+	Thickness of SUS flat deg [mm]34	140I 52+	Thickness of SUS flat deg [mm]35	136Sn 50+	Thickness of SUS flat deg [mm]36	138Te 51+	Thickness of SUS flat deg [mm]37	139Sb 51+	Thickness of SUS flat deg [mm]38	139I 52+	Thickness of SUS flat deg [mm]39	143Xe 54+	Thickness of SUS flat deg [mm]40	141I 52+	Thickness of SUS flat deg [mm]41	140I 53+	Thickness of SUS flat deg [mm]42	142Xe 53+	Thickness of SUS flat deg [mm]43	139Te 51+	Thickness of SUS flat deg [mm]44	138Te 52+	Thickness of SUS flat deg [mm]45	137Sb 51+	Thickness of SUS flat deg [mm]46	141Te 51+	Thickness of SUS flat deg [mm]47	142I 53+	Thickness of SUS flat deg [mm]48	140Te 52+	Thickness of SUS flat deg [mm]49	132Sn 50+	Thickness of SUS flat deg [mm]50	141Xe 54+	
2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	2.266667	0         	
2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	2.283333	0         	
2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	2.300000	0         	
2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	2.316667	0         	
2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	2.333333	0         	
2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	2.350000	0         	
2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	2.366667	0         	
2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	2.383333	0         	
2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	2.400000	0         	
2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	2.416667	0         	
2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	2.433333	0         	
2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	2.450000	0         	
2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	2.466667	0         	
2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	2.483333	0         	
2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	2.500000	0         	
2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	2.516667	0         	
2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	2.533333	0         	
2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	2.550000	0         	
2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	2.566667	0         	
2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	2.583333	0         	
2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	2.600000	0         	
2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	2.616667	0         	
2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	2.633333	0         	
2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	2.650000	0         	
2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	2.666667	0         	
2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	2.683333	0         	
2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	2.700000	0         	
2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	2.716667	0         	
2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	2.733333	0         	
2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	2.750000	0         	
2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	2.766667	0         	
